"","year","Element","total","continent"
"187","Y1996","Import Quantity",4781564,"Asia"
"188","Y1996","Import Value",2888335,"Asia"
"189","Y1997","Export Quantity",3520448,"Asia"
"190","Y1997","Export Value",1795128,"Asia"
"191","Y1997","Import Quantity",4617870,"Asia"
"192","Y1997","Import Value",2630484,"Asia"
"193","Y1998","Export Quantity",9087510,"Asia"
"194","Y1998","Export Value",5457247,"Asia"
"195","Y1998","Import Quantity",5448433,"Asia"
"196","Y1998","Import Value",3611260,"Asia"
"197","Y1999","Export Quantity",12181223,"Asia"
"198","Y1999","Export Value",5026437,"Asia"
"199","Y1999","Import Quantity",6370929,"Asia"
"200","Y1999","Import Value",3143289,"Asia"
"201","Y2000","Export Quantity",12547207,"Asia"
"202","Y2000","Export Value",3772608,"Asia"
"203","Y2000","Import Quantity",7189623,"Asia"
"204","Y2000","Import Value",2386000,"Asia"
"205","Y2001","Export Quantity",15364537,"Asia"
"206","Y2001","Export Value",3767066,"Asia"
"207","Y2001","Import Quantity",7663089,"Asia"
"208","Y2001","Import Value",2288114,"Asia"
"209","Y2002","Export Quantity",17129539,"Asia"
"210","Y2002","Export Value",6072558,"Asia"
"211","Y2002","Import Quantity",9173305,"Asia"
"212","Y2002","Import Value",3525272,"Asia"
"213","Y2003","Export Quantity",18862680,"Asia"
"214","Y2003","Export Value",7880357,"Asia"
"215","Y2003","Import Quantity",11462386,"Asia"
"216","Y2003","Import Value",5147089,"Asia"
"217","Y2004","Export Quantity",20805236,"Asia"
"218","Y2004","Export Value",9106884,"Asia"
"219","Y2004","Import Quantity",12333706,"Asia"
"220","Y2004","Import Value",6028044,"Asia"
"221","Y2005","Export Quantity",23946936,"Asia"
"222","Y2005","Export Value",8859334,"Asia"
"223","Y2005","Import Quantity",12665493,"Asia"
"224","Y2005","Import Value",5433993,"Asia"
"225","Y2006","Export Quantity",26743257,"Asia"
"226","Y2006","Export Value",10820277,"Asia"
"227","Y2006","Import Quantity",14400799,"Asia"
"228","Y2006","Import Value",6408183,"Asia"
"229","Y2007","Export Quantity",22421269,"Asia"
"230","Y2007","Export Value",16464193,"Asia"
"231","Y2007","Import Quantity",14830231,"Asia"
"232","Y2007","Import Value",9062533,"Asia"
"233","Y2008","Export Quantity",29156183,"Asia"
"234","Y2008","Export Value",25924461,"Asia"
"235","Y2008","Import Quantity",16102535,"Asia"
"236","Y2008","Import Value",13011776,"Asia"
"237","Y2009","Export Quantity",31156996,"Asia"
"238","Y2009","Export Value",19975351,"Asia"
"239","Y2009","Import Quantity",18062812,"Asia"
"240","Y2009","Import Value",12206900,"Asia"
"241","Y2010","Export Quantity",31461644,"Asia"
"242","Y2010","Export Value",26267078,"Asia"
"243","Y2010","Import Quantity",16256633,"Asia"
"244","Y2010","Import Value",13405847,"Asia"
"245","Y2011","Export Quantity",32739639,"Asia"
"246","Y2011","Export Value",35402795,"Asia"
"247","Y2011","Import Quantity",18954457,"Asia"
"248","Y2011","Import Value",21514206,"Asia"
